harness,dataset,index,params,k,recall_at_k,mean_latency_us,p95_latency_us,build_seconds,index_bytes,base_bytes,queries,runs,timestamp
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=1",10,0.311280,24.623,27.958,23.873,24663732,512000000,10000,3,2026-09-04T09:15:11.437697+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=4",10,0.492240,37.886,46.250,23.873,24663732,512000000,10000,3,2026-09-04T09:15:12.739326+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=8",10,0.539950,54.393,68.209,23.873,24663732,512000000,10000,3,2026-09-04T09:15:14.552744+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=16",10,0.563040,86.949,107.708,23.873,24663732,512000000,10000,3,2026-09-04T09:15:17.377846+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=32",10,0.571660,149.824,180.000,23.873,24663732,512000000,10000,3,2026-09-04T09:15:22.149272+00:00
faiss,SIFT1M,IndexIVFPQ,"nlist=1024,m=16,nprobe=64",10,0.573680,273.767,319.000,23.873,24663732,512000000,10000,3,2026-09-04T09:15:30.765868+00:00
