harness,dataset,index,params,k,recall_at_k,mean_latency_us,p95_latency_us,build_seconds,index_bytes,base_bytes,queries,runs,timestamp
java,SIFT1M,"hnsw(M=16,efC=200,ef=16)","M=16,efC=200,ef=16",10,0.816980,33.475,46.208,220.247,144568308,512000000,10000,3,2026-09-04T08:29:41.740430Z
java,SIFT1M,"hnsw(M=16,efC=200,ef=32)","M=16,efC=200,ef=32",10,0.916040,53.337,69.625,220.247,144568308,512000000,10000,3,2026-09-04T08:29:43.420482Z
java,SIFT1M,"hnsw(M=16,efC=200,ef=64)","M=16,efC=200,ef=64",10,0.970350,91.863,116.958,220.247,144568308,512000000,10000,3,2026-09-04T08:29:46.280058Z
java,SIFT1M,"hnsw(M=16,efC=200,ef=128)","M=16,efC=200,ef=128",10,0.992000,164.990,211.833,220.247,144568308,512000000,10000,3,2026-09-04T08:29:51.407504Z
java,SIFT1M,"hnsw(M=16,efC=200,ef=256)","M=16,efC=200,ef=256",10,0.997870,296.485,384.542,220.247,144568308,512000000,10000,3,2026-09-04T08:30:00.623930Z
java,SIFT1M,"hnsw(M=16,efC=200,ef=512)","M=16,efC=200,ef=512",10,0.999240,528.371,694.459,220.247,144568308,512000000,10000,3,2026-09-04T08:30:17.051940Z
