query,recall,d1,dk,spread,orphan_neighbours
115,0.8000,0.9178,1.0096,1.1000,0
116,0.9000,1.1875,1.6248,1.3683,0
117,0.8000,1.1251,1.1749,1.0442,0
118,1.0000,0.8446,0.9119,1.0797,0
119,0.9000,1.0191,1.0544,1.0347,0
120,0.8000,1.2760,1.2981,1.0173,0
121,0.5000,1.0117,1.0371,1.0251,0
122,1.0000,0.8461,0.9223,1.0900,0
123,0.9000,0.9002,1.0007,1.1117,0
124,0.8000,1.1494,1.1930,1.0379,0
125,1.0000,1.0158,1.0791,1.0623,0
126,0.6000,1.1894,1.2261,1.0309,0
127,0.9000,0.1699,1.0871,6.3969,0
128,0.9000,0.0000,0.8756,1.0000,0
129,0.7000,0.7396,0.7662,1.0359,0
130,0.6000,1.3143,1.5655,1.1911,0
131,0.4000,1.1118,1.1283,1.0149,0
132,1.0000,1.2479,1.4146,1.1336,0
133,1.0000,1.0633,1.1174,1.0509,0
134,0.6000,0.2569,1.5507,6.0366,0
135,1.0000,1.2712,1.3123,1.0323,0
136,1.0000,0.8794,0.9165,1.0422,0
137,1.0000,0.9257,0.9743,1.0525,0
138,0.9000,1.0944,1.1381,1.0400,0
139,0.9000,1.1489,1.2049,1.0487,0
140,0.8000,0.8962,0.9655,1.0773,0
141,1.0000,0.7885,0.8256,1.0470,0
142,0.9000,0.8499,0.8994,1.0582,0
143,0.8000,1.2422,1.2769,1.0279,0
144,0.8000,1.0707,1.1158,1.0421,0
145,0.8000,1.1963,1.2506,1.0453,0
146,0.8000,1.0581,1.1489,1.0858,0
147,1.0000,0.8189,0.9113,1.1128,0
148,0.8000,1.2429,1.2870,1.0355,0
149,1.0000,0.7173,0.7826,1.0909,0
150,0.8000,1.0771,1.1220,1.0417,0
151,1.0000,0.3340,0.3495,1.0464,0
152,0.7000,0.8173,0.8533,1.0440,0
153,1.0000,0.6808,0.7031,1.0327,0
154,0.6000,1.0687,1.1333,1.0605,0
155,1.0000,0.5443,0.5907,1.0852,0
156,0.9000,1.0019,1.0441,1.0421,0
157,1.0000,0.9521,1.0048,1.0553,0
158,0.9000,1.6857,1.8076,1.0723,0
159,0.7000,1.4121,1.4857,1.0521,0
160,1.0000,0.3596,0.4038,1.1230,0
161,0.9000,0.7066,0.7764,1.0989,0
162,1.0000,1.0162,1.0668,1.0499,0
163,0.9000,0.7709,0.8165,1.0591,0
164,0.9000,0.7997,0.9149,1.1441,0
165,1.0000,1.0061,1.0533,1.0469,0
166,0.6000,1.1801,1.2407,1.0513,0
167,0.9000,1.8662,1.9795,1.0607,0
168,0.8000,0.8853,1.0168,1.1485,0
169,0.7000,1.2505,1.2792,1.0230,0
170,0.6000,1.0314,1.0586,1.0264,0
171,0.8000,1.1386,1.1915,1.0465,0
172,0.5000,0.9890,1.0306,1.0421,0
173,1.0000,0.9737,1.0128,1.0402,0
174,1.0000,0.9303,0.9593,1.0311,0
175,1.0000,0.3338,0.3487,1.0446,0
176,0.3000,1.1604,1.1969,1.0315,0
177,0.6000,1.2226,1.2669,1.0363,0
178,1.0000,0.8468,0.8785,1.0374,0
179,1.0000,0.9007,0.9542,1.0595,0
180,0.6000,1.3048,1.3399,1.0269,0
181,0.2000,1.2904,1.3300,1.0307,0
182,1.0000,0.8615,0.9267,1.0757,0
183,0.5000,1.1518,1.1801,1.0246,0
184,0.4000,1.1768,1.2323,1.0472,0
185,0.5000,0.1645,1.4253,8.6643,0
186,0.8000,1.0785,1.1393,1.0564,0
187,0.6000,0.9356,0.9682,1.0348,0
188,0.7000,0.8134,0.8918,1.0964,0
189,0.9000,0.5713,0.6278,1.0989,0
190,0.8000,0.5408,0.5641,1.0431,0
191,0.6000,0.9519,0.9950,1.0453,0
192,0.9000,0.9786,1.0227,1.0450,0
193,0.8000,1.2181,1.2927,1.0612,0
194,0.6000,0.6627,0.6802,1.0264,0
195,0.9000,1.0731,1.1170,1.0409,0
196,0.8000,1.0387,1.0827,1.0424,0
197,0.9000,1.6806,1.7350,1.0323,0
198,0.7000,1.2372,1.3332,1.0776,0
199,0.6000,1.2682,1.2884,1.0160,0
200,0.7000,1.0200,1.0760,1.0549,0
201,0.9000,1.2949,1.3178,1.0177,0
202,0.6000,1.2492,1.2920,1.0343,0
203,0.6000,0.9036,0.9395,1.0398,0
204,0.9000,0.7854,0.8035,1.0230,0
205,1.0000,0.8273,0.8917,1.0779,0
206,0.4000,1.1801,1.2151,1.0297,0
207,0.1000,1.3424,1.3926,1.0374,0
208,0.5000,1.3236,1.3725,1.0369,0
209,0.8000,1.0495,1.1497,1.0954,0
210,0.7000,1.0926,1.1216,1.0265,0
211,0.5000,1.0776,1.1094,1.0296,0
212,0.8000,0.9716,1.0368,1.0670,0
213,0.4000,0.9833,1.0312,1.0487,0
214,0.5000,1.2692,1.3415,1.0570,0
215,0.8000,1.1048,1.1788,1.0670,0
