query,recall,d1,dk,spread,orphan_neighbours
115,1.0000,200.1400,222.5713,1.1121,0
116,1.0000,65.3299,74.3707,1.1384,0
117,1.0000,218.5246,243.7437,1.1154,0
118,1.0000,178.4713,204.9951,1.1486,0
119,1.0000,56.4535,149.8166,2.6538,0
120,1.0000,246.9696,268.1996,1.0860,0
121,0.9000,252.0833,271.7370,1.0780,0
122,1.0000,165.1666,248.8654,1.5068,0
123,1.0000,199.9025,213.3729,1.0674,0
124,1.0000,170.6663,184.2010,1.0793,0
125,1.0000,147.4279,161.9012,1.0982,0
126,0.9000,200.3597,222.3826,1.1099,0
127,1.0000,190.8271,212.5982,1.1141,0
128,1.0000,161.1645,180.6378,1.1208,0
129,1.0000,238.9184,270.9908,1.1342,0
130,1.0000,271.1918,287.5465,1.0603,0
131,1.0000,203.1379,237.1561,1.1675,0
132,1.0000,211.9127,230.0413,1.0855,0
133,0.8000,333.7919,355.7330,1.0657,0
134,0.9000,172.6326,192.5902,1.1156,0
135,1.0000,210.8744,227.0991,1.0769,0
136,1.0000,197.2232,217.6878,1.1038,0
137,1.0000,301.9271,318.5844,1.0552,0
138,1.0000,240.7198,266.5689,1.1074,0
139,0.9000,173.1993,187.6513,1.0834,0
140,0.9000,249.2348,268.1492,1.0759,0
141,1.0000,177.8679,201.1915,1.1311,0
142,1.0000,241.7023,252.1309,1.0431,0
143,1.0000,194.9821,220.1091,1.1289,0
144,1.0000,196.2855,239.7916,1.2216,0
145,1.0000,213.6071,239.5558,1.1215,0
146,1.0000,189.4307,255.3449,1.3480,0
147,1.0000,203.5927,214.1098,1.0517,0
148,1.0000,222.0428,255.0804,1.1488,0
149,1.0000,155.3480,270.3294,1.7402,0
150,0.8000,208.7989,229.0982,1.0972,0
151,1.0000,110.7610,122.8047,1.1087,0
152,1.0000,234.7552,249.7719,1.0640,0
153,1.0000,188.6849,215.3369,1.1413,0
154,0.8000,262.0859,290.7095,1.1092,0
155,1.0000,77.6595,219.0776,2.8210,0
156,1.0000,185.0162,240.3165,1.2989,0
157,0.5000,218.4743,238.7530,1.0928,0
158,0.9000,203.1354,220.2181,1.0841,0
159,0.9000,229.8282,250.5155,1.0900,0
160,0.9000,236.5650,247.5439,1.0464,0
161,1.0000,204.2890,235.7605,1.1541,0
162,1.0000,220.5425,232.3768,1.0537,0
163,0.9000,184.0842,213.6797,1.1608,0
164,1.0000,174.9829,187.9814,1.0743,0
165,1.0000,159.3518,169.9559,1.0665,0
166,0.9000,241.7519,266.9176,1.1041,0
167,0.9000,174.3388,205.3485,1.1779,0
168,1.0000,158.7892,181.6342,1.1439,0
169,1.0000,145.0138,170.5872,1.1764,0
170,1.0000,186.6307,201.6036,1.0802,0
171,1.0000,207.9904,243.2530,1.1695,0
172,1.0000,214.5530,227.5961,1.0608,0
173,0.9000,228.6460,265.6464,1.1618,0
174,1.0000,182.8715,207.8317,1.1365,0
175,1.0000,179.9055,202.5389,1.1258,0
176,1.0000,206.7438,229.1113,1.1082,0
177,1.0000,205.8397,217.4442,1.0564,0
178,0.9000,210.8483,238.9561,1.1333,0
179,0.9000,202.6894,227.5456,1.1226,0
180,1.0000,174.8971,226.4685,1.2949,0
181,1.0000,206.0631,230.8896,1.1205,0
182,0.9000,205.2535,233.8632,1.1394,0
183,1.0000,195.9158,221.5423,1.1308,0
184,1.0000,192.4786,210.1642,1.0919,0
185,1.0000,84.1724,100.3145,1.1918,0
186,1.0000,176.1874,195.9362,1.1121,0
187,0.9000,224.0803,237.5205,1.0600,0
188,1.0000,212.0118,225.6723,1.0644,0
189,1.0000,229.9065,254.7234,1.1079,0
190,1.0000,183.7253,221.7972,1.2072,0
191,1.0000,225.2887,257.5209,1.1431,0
192,0.7000,213.1244,252.0476,1.1826,0
193,1.0000,180.6184,201.4423,1.1153,0
194,1.0000,252.8142,282.5863,1.1178,0
195,1.0000,225.3442,238.5309,1.0585,0
196,0.9000,260.2633,265.8571,1.0215,0
197,0.9000,203.2880,233.9338,1.1508,0
198,1.0000,137.8768,166.7843,1.2097,0
199,1.0000,215.7638,230.9394,1.0703,0
200,1.0000,181.2926,209.0718,1.1532,0
201,1.0000,182.3732,209.7475,1.1501,0
202,1.0000,209.6211,238.9623,1.1400,0
203,1.0000,230.6122,251.6883,1.0914,0
204,0.9000,235.9725,259.7133,1.1006,0
205,1.0000,194.9179,223.6224,1.1473,0
206,1.0000,186.2337,208.0120,1.1169,0
207,1.0000,254.9176,283.0000,1.1102,0
208,1.0000,158.1423,176.8841,1.1185,0
209,1.0000,131.8218,154.0487,1.1686,0
210,0.7000,239.5746,254.3207,1.0616,0
211,1.0000,200.0550,208.6720,1.0431,0
212,1.0000,192.5954,222.6657,1.1561,0
213,1.0000,211.5490,228.6701,1.0809,0
214,1.0000,204.5189,240.1833,1.1744,0
215,1.0000,138.9136,161.2483,1.1608,0
216,1.0000,232.7209,248.9739,1.0698,0
217,0.9000,201.1865,216.8594,1.0779,0
218,1.0000,224.8577,251.9325,1.1204,0
219,1.0000,216.8963,225.4617,1.0395,0
220,0.9000,219.9454,230.6556,1.0487,0
221,1.0000,207.5765,222.3646,1.0712,0
222,1.0000,229.0393,244.7815,1.0687,0
223,1.0000,252.5965,267.3219,1.0583,0
224,1.0000,218.3163,241.5016,1.1062,0
225,0.7000,231.6290,246.4407,1.0639,0
226,0.9000,263.1672,293.9013,1.1168,0
227,0.9000,250.4676,261.6792,1.0448,0
228,1.0000,258.0426,273.2362,1.0589,0
229,0.8000,235.2446,270.3701,1.1493,0
230,1.0000,113.2784,155.6663,1.3742,0
231,1.0000,214.0748,231.7024,1.0823,0
232,1.0000,153.7791,183.0410,1.1903,0
233,0.9000,241.2778,273.8941,1.1352,0
234,1.0000,250.9462,257.1556,1.0247,0
235,1.0000,212.2711,233.6086,1.1005,0
236,1.0000,156.8024,177.4993,1.1320,0
237,1.0000,238.1323,281.1885,1.1808,0
238,0.9000,234.0855,264.7263,1.1309,0
239,1.0000,212.5606,225.7919,1.0622,0
240,1.0000,189.5231,201.1542,1.0614,0
241,0.9000,229.5256,261.2929,1.1384,0
242,1.0000,261.0804,279.0556,1.0688,0
243,0.9000,224.2030,246.0224,1.0973,0
244,0.9000,239.7624,248.7891,1.0376,0
245,1.0000,202.5191,221.5017,1.0937,0
246,0.8000,226.2653,239.5287,1.0586,0
247,1.0000,179.5996,202.3611,1.1267,0
248,0.7000,244.3010,251.6347,1.0300,0
249,1.0000,228.8253,243.6124,1.0646,0
250,0.9000,245.2855,262.3242,1.0695,0
251,1.0000,252.0456,279.3546,1.1083,0
252,0.9000,227.9539,233.9915,1.0265,0
253,1.0000,199.5720,226.5281,1.1351,0
254,0.9000,239.8249,253.2706,1.0561,0
255,1.0000,223.5979,247.8508,1.1085,0
256,0.8000,272.5674,302.0480,1.1082,0
257,0.9000,272.3876,291.0739,1.0686,0
258,0.9000,242.1652,260.6031,1.0761,0
259,0.7000,194.9718,205.1439,1.0522,0
260,0.9000,244.0061,268.7266,1.1013,0
261,1.0000,259.6305,281.0534,1.0825,0
262,0.9000,243.7847,266.3475,1.0926,0
263,1.0000,132.6801,198.0808,1.4929,0
264,1.0000,196.6799,234.0085,1.1898,0
265,1.0000,190.9529,219.8113,1.1511,0
266,1.0000,201.8613,218.6321,1.0831,0
267,1.0000,224.1629,251.4697,1.1218,0
268,0.8000,222.6163,243.6760,1.0946,0
269,0.9000,235.6183,246.8096,1.0475,0
270,1.0000,200.4969,228.9934,1.1421,0
271,1.0000,225.1155,238.2226,1.0582,0
272,1.0000,224.4326,255.7948,1.1397,0
273,1.0000,196.0102,240.1083,1.2250,0
274,0.8000,235.0298,260.3459,1.1077,0
275,0.9000,264.1098,284.9456,1.0789,0
276,1.0000,232.4263,268.4846,1.1551,0
277,1.0000,258.7837,271.3761,1.0487,0
278,0.9000,229.7020,243.7212,1.0610,0
279,0.8000,212.6029,222.1036,1.0447,0
280,1.0000,233.0386,258.7489,1.1103,0
281,1.0000,255.9140,275.7245,1.0774,0
282,1.0000,265.9868,287.9097,1.0824,0
283,1.0000,194.2782,214.0677,1.1019,0
284,1.0000,224.5952,237.1919,1.0561,0
285,0.7000,250.9163,278.6575,1.1106,0
286,0.9000,204.3306,221.7904,1.0854,0
